project_code,date,contact_name,total,has_attachments,rd_category,bank_account
ACT-IN,2026-01-12,NAB Fee,0.58,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-12,NAB Fee,2.77,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-12,NAB Fee,1.52,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-12,NAB Fee,0.58,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-11,Wifi Onboard,19.95,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-11,Anthropic,16.41,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-09,NAB Fee,9.63,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-09,Webflow,43.3,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-09,NAB Fee,0.63,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-09,NAB Fee,1.04,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-08,Uber,128.73,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-08,Uber,9.99,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-07,Uber,38.58,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-07,NAB Fee,1.31,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-06,NAB Fee,5.59,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-06,Uber,66.07,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-05,HighLevel,25,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-05,HighLevel,25,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-05,Uber,54.51,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-05,HighLevel,37.48,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-05,NAB Fee,0.63,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-05,Uber,19.76,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-05,NAB Fee,5.25,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-05,NAB Fee,1.73,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-05,NAB Fee,2.17,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-05,NAB Fee,0.58,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-03,Zapier,49.29,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-02,STARLINK INTERNET SERVICES,150,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-02,NAB Fee,1.15,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-01,Anthropic,16.49,true,core,NAB Visa ACT #8815
ACT-JH,2026-01-26,Perrys Seafood,5.77,true,core,NAB Visa ACT #8815
ACT-JH,2026-01-26,Stradbroke Flyer Gold Cats,22,true,core,NAB Visa ACT #8815
ACT-JH,2026-01-22,Unknown Supplier,43.1,true,core,NAB Visa ACT #8815
ACT-JH,2026-01-22,Bornga - Sydney,25.38,true,core,NAB Visa ACT #8815
